at time x process y started arrive time w running time z remning time y waiting time k
at time 3 process 1 started arrive time 3 running time 4 remning time 4 waiting time 0
at time 5 process 1 stoped arrive time 3 running time 4 remning time 2 waiting time 2
at time 5 process 2 started arrive time 4 running time 4 remning time 4 waiting time 1
at time 7 process 2 stoped arrive time 4 running time 4 remning time 2 waiting time 3
at time 7 process 1 continued arrive time 3 running time 4 remning time 2 waiting time 4
at time 8 process 1 finished arrive time 3 running time 4 remning time 0 waiting time 5
at time 8 process 3 started arrive time 5 running time 4 remning time 4 waiting time 3
at time 10 process 3 stoped arrive time 5 running time 4 remning time 2 waiting time 5
at time 10 process 2 continued arrive time 4 running time 4 remning time 2 waiting time 6
at time 11 process 2 finished arrive time 4 running time 4 remning time 0 waiting time 7
at time 11 process 3 continued arrive time 5 running time 4 remning time 2 waiting time 6
at time 12 process 3 finished arrive time 5 running time 4 remning time 0 waiting time 7
